T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2015,Major trading partner 1 (% of exports),India,,33.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2020,Major trading partner 1 (% of exports),India,,28.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2024,Major trading partner 1 (% of exports),India,,38.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2015,Major trading partner 1 (% of imports),United Arab Emirates,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2020,Major trading partner 1 (% of imports),United Arab Emirates,,19.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2024,Major trading partner 1 (% of imports),United Arab Emirates,,22.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2015,Major trading partner 2 (% of exports),Pakistan,,39.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2020,Major trading partner 2 (% of exports),Pakistan,,28.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2024,Major trading partner 2 (% of exports),Pakistan,,38.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
4,Afghanistan,2015,Major trading partner 2 (% of imports),China,,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
